code,score
623,1.91740652829
600161,1.26793282932
661,1.25954245974
2393,0.926291662563
600530,0.901921373665
2038,0.795340287415
600211,0.748328860902
600201,0.733762401248
300357,0.691080301457
423,0.634542905662
300406,0.59877860272
2294,0.584244106694
2007,0.580365733339
300294,0.53266527336
2252,0.514696096079
538,0.469959173707
600196,0.444087411521
600332,0.443922748999
2019,0.443188752851
600867,0.408559173021
2275,0.402571433932
300122,0.398727378928
2287,0.394943468866
600436,0.364393215305
600566,0.311053748522
790,0.310375430635
2001,0.295073310795
300233,0.294039482611
300199,0.290700113411
2166,0.289521408385
2118,0.280583333628
999,0.272932931427
600771,0.26675089503
600750,0.259154701258
600276,0.2452832832
600380,0.235941902023
600252,0.225192223255
2317,0.211113332177
300009,0.191098035597
300204,0.185347618611
989,0.169054172462
600993,0.158115630061
600518,0.155316242374
603567,0.1535953322
2422,0.13259967276
915,0.131621939445
2370,0.130774893093
2424,0.122799803352
2603,0.113755411755
600781,0.102532442235
600079,0.101828513859
600062,0.0942090053419
766,0.0880572507839
300016,0.0780215496804
2728,0.0691420070865
600557,0.0594017509791
600216,0.0517869438578
603168,0.0437543181278
300439,0.0393224627802
2433,0.0356195917235
300267,0.0247421215032
2675,0.0121145458861
2022,0.0107429778253
300363,0.00563946359963
2365,0.00445891964253
2412,-0.00499840810825
300039,-0.005243445775
600594,-0.00683201225282
2020,-0.0109764343692
952,-0.0144187064001
600085,-0.0160880264783
600329,-0.0194458749558
600420,-0.0476425649127
2727,-0.0492746536743
2099,-0.052072790029
2262,-0.0540519071151
300119,-0.0592533640391
600521,-0.0598895459073
300194,-0.0627294487642
300049,-0.0639475860217
2349,-0.0687654709379
600976,-0.0732073114856
2550,-0.0823636223624
606,-0.083828490234
600535,-0.0888489846096
600285,-0.0898205487861
600572,-0.0979234808624
300436,-0.104608180944
300255,-0.105076823612
2644,-0.106318528051
2566,-0.112265603467
300289,-0.121629942876
600080,-0.126487411168
2653,-0.132360089464
600267,-0.133854243243
600613,-0.135133813863
650,-0.144804266753
600129,-0.153914129473
600422,-0.154252890923
300026,-0.154764258383
600513,-0.156469966303
597,-0.16600332983
919,-0.178485654457
300086,-0.179696399224
300158,-0.181978055113
600645,-0.182462671395
600351,-0.188653203992
600479,-0.189703275105
300147,-0.205268738543
600789,-0.215289370544
2399,-0.216964463665
2437,-0.238175830573
2332,-0.245477544928
603222,-0.247109118566
2390,-0.247343433839
756,-0.262633902196
513,-0.263463872365
603456,-0.263980911124
2750,-0.264668268295
600200,-0.265248328677
2688,-0.268677238891
603998,-0.271482504746
2107,-0.273703902545
2737,-0.279547728698
963,-0.287242441357
908,-0.28948611579
600829,-0.303438079738
153,-0.307150394171
566,-0.308256554632
739,-0.310971961249
600488,-0.316577221306
300254,-0.333109129304
600466,-0.355169848743
600671,-0.356906058687
78,-0.358869560544
2030,-0.363332700088
590,-0.371496931874
2219,-0.374640885852
300181,-0.378780367513
4,-0.379884814129
600664,-0.40772656187
300239,-0.420032344068
600666,-0.427225356989
600812,-0.450830590884
300110,-0.484371020918
788,-0.499047949646
600222,-0.504489554735
2693,-0.554008238447
518,-0.630914001686
2198,-2.08895956789
300142,-2.59792206654
